train_id,st_code,trip_no,arrival,departure,dist
22210,NDLS,1,2022-03-01 22:10:00,2022-03-01 22:10:00,0
22210,KOTA,1,2022-03-02 03:40:00,2022-03-02 03:50:00,465
22210,RTM,1,2022-03-02 07:00:00,2022-03-02 07:05:00,731
22210,BRC,1,2022-03-02 10:33:00,2022-03-02 10:43:00,993
22210,MMCT,1,2022-03-02 15:50:00,2022-03-02 15:50:00,1384
22210,NDLS,2,2022-03-02 22:10:00,2022-03-02 22:10:00,0
22210,KOTA,2,2022-03-03 03:40:00,2022-03-03 03:50:00,465
22210,RTM,2,2022-03-03 07:00:00,2022-03-03 07:05:00,731
22210,BRC,2,2022-03-03 10:33:00,2022-03-03 10:43:00,993
22210,MMCT,2,2022-03-03 15:50:00,2022-03-03 15:50:00,1384
22210,NDLS,3,2022-03-03 22:10:00,2022-03-03 22:10:00,0
22210,KOTA,3,2022-03-04 03:40:00,2022-03-04 03:50:00,465
22210,RTM,3,2022-03-04 07:00:00,2022-03-04 07:05:00,731
22210,BRC,3,2022-03-04 10:33:00,2022-03-04 10:43:00,993
22210,MMCT,3,2022-03-04 15:50:00,2022-03-04 15:50:00,1384
22210,NDLS,4,2022-03-04 22:10:00,2022-03-04 22:10:00,0
22210,KOTA,4,2022-03-05 03:40:00,2022-03-05 03:50:00,465
22210,RTM,4,2022-03-05 07:00:00,2022-03-05 07:05:00,731
22210,BRC,4,2022-03-05 10:33:00,2022-03-05 10:43:00,993
22210,MMCT,4,2022-03-05 15:50:00,2022-03-05 15:50:00,1384
22210,NDLS,5,2022-03-05 22:10:00,2022-03-05 22:10:00,0
22210,KOTA,5,2022-03-06 03:40:00,2022-03-06 03:50:00,465
22210,RTM,5,2022-03-06 07:00:00,2022-03-06 07:05:00,731
22210,BRC,5,2022-03-06 10:33:00,2022-03-06 10:43:00,993
22210,MMCT,5,2022-03-06 15:50:00,2022-03-06 15:50:00,1384
22210,NDLS,6,2022-03-06 22:10:00,2022-03-06 22:10:00,0
22210,KOTA,6,2022-03-07 03:40:00,2022-03-07 03:50:00,465
22210,RTM,6,2022-03-07 07:00:00,2022-03-07 07:05:00,731
22210,BRC,6,2022-03-07 10:33:00,2022-03-07 10:43:00,993
22210,MMCT,6,2022-03-07 15:50:00,2022-03-07 15:50:00,1384
22210,NDLS,7,2022-03-07 22:10:00,2022-03-07 22:10:00,0
22210,KOTA,7,2022-03-08 03:40:00,2022-03-08 03:50:00,465
22210,RTM,7,2022-03-08 07:00:00,2022-03-08 07:05:00,731
22210,BRC,7,2022-03-08 10:33:00,2022-03-08 10:43:00,993
22210,MMCT,7,2022-03-08 15:50:00,2022-03-08 15:50:00,1384
22908,HAPA,1,2022-03-01 21:40:00,2022-03-01 21:40:00,0
22908,RJT,1,2022-03-01 22:50:00,2022-03-01 22:55:00,77
22908,SUNR,1,2022-03-02 00:41:00,2022-03-02 00:43:00,193
22908,VG,1,2022-03-02 01:45:00,2022-03-02 01:47:00,258
22908,ADI,1,2022-03-02 03:05:00,2022-03-02 03:15:00,323
22908,ND,1,2022-03-02 04:01:00,2022-03-02 04:03:00,369
22908,ANND,1,2022-03-02 04:18:00,2022-03-02 04:20:00,387
22908,BRC,1,2022-03-02 04:58:00,2022-03-02 05:08:00,423
22908,BH,1,2022-03-02 06:00:00,2022-03-02 06:02:00,493
22908,ST,1,2022-03-02 06:57:00,2022-03-02 07:02:00,552
22908,VAPI,1,2022-03-02 08:17:00,2022-03-02 08:19:00,645
22908,BSR,1,2022-03-02 10:05:00,2022-03-02 10:10:00,767
22908,PNVL,1,2022-03-02 11:25:00,2022-03-02 11:30:00,834
22908,KHED,1,2022-03-02 14:02:00,2022-03-02 14:04:00,1049
22908,RN,1,2022-03-02 16:25:00,2022-03-02 16:30:00,1197
22908,KUDL,1,2022-03-02 18:38:00,2022-03-02 18:40:00,1392
22908,THVM,1,2022-03-02 19:18:00,2022-03-02 19:20:00,1467
22908,MAO,1,2022-03-02 21:00:00,2022-03-02 21:00:00,1531
22908,HAPA,2,2022-03-02 21:40:00,2022-03-02 21:40:00,0
22908,RJT,2,2022-03-02 22:50:00,2022-03-02 22:55:00,77
22908,SUNR,2,2022-03-03 00:41:00,2022-03-03 00:43:00,193
22908,VG,2,2022-03-03 01:45:00,2022-03-03 01:47:00,258
22908,ADI,2,2022-03-03 03:05:00,2022-03-03 03:15:00,323
22908,ND,2,2022-03-03 04:01:00,2022-03-03 04:03:00,369
22908,ANND,2,2022-03-03 04:18:00,2022-03-03 04:20:00,387
22908,BRC,2,2022-03-03 04:58:00,2022-03-03 05:08:00,423
22908,BH,2,2022-03-03 06:00:00,2022-03-03 06:02:00,493
22908,ST,2,2022-03-03 06:57:00,2022-03-03 07:02:00,552
22908,VAPI,2,2022-03-03 08:17:00,2022-03-03 08:19:00,645
22908,BSR,2,2022-03-03 10:05:00,2022-03-03 10:10:00,767
22908,PNVL,2,2022-03-03 11:25:00,2022-03-03 11:30:00,834
22908,KHED,2,2022-03-03 14:02:00,2022-03-03 14:04:00,1049
22908,RN,2,2022-03-03 16:25:00,2022-03-03 16:30:00,1197
22908,KUDL,2,2022-03-03 18:38:00,2022-03-03 18:40:00,1392
22908,THVM,2,2022-03-03 19:18:00,2022-03-03 19:20:00,1467
